wave_type,elapsed
Saw(0.15),0.047552765
Saw(0.15),0.052322294
Saw(0.15),0.056974469
Saw(0.15),0.062484087
Saw(0.15),0.04546732
Saw(0.15),0.050596433
Saw(0.15),0.055715839
Saw(0.15),0.060514253
Saw(0.15),0.065512284
Saw(0.15),0.04838736
Saw(0.15),0.053167264
Saw(0.15),0.05816966
Saw(0.15),0.062921162
Saw(0.15),0.046785275
Saw(0.15),0.051604874
Saw(0.15),0.056444682
Saw(0.15),0.061716634
Saw(0.15),0.066278793
Saw(0.15),0.049377907
Saw(0.15),0.054339665
Saw(0.15),0.059200623
Saw(0.15),0.064517272
Saw(0.15),0.047333265
Saw(0.15),0.052613653
Saw(0.15),0.057560263
Saw(0.15),0.062287444
Saw(0.15),0.045945546
Saw(0.15),0.051158564
Saw(0.15),0.056061078
Saw(0.15),0.061105071
Saw(0.15),0.04400368
Saw(0.15),0.049228756
Saw(0.15),0.054054359
Saw(0.15),0.05879065
Saw(0.15),0.063757725
Saw(0.15),0.047676196
Saw(0.15),0.052828423
Saw(0.15),0.057666849
Saw(0.15),0.06250384
